Year,AVERAGE of BOD_Avg,AVERAGE of DO_Avg,,,,
2012,5.25742,7.130933333,,,,
2013,10.15557123,6.956734838,,,,
2014,8.356213389,5.873500697,,,,
2016,4.767815421,6.71103972,,,,
2017,2.397955801,6.878508287,,,,
2018,5.57420999,6.000214067,,,,
2019,4.80215101,6.345329236,,,,
2020,2.712875622,6.948731343,,,,
2021,2.382383242,7.526277473,,,,
2022,4.695617128,7.442981738,,,,
2023,3.048387097,6.810533499,,,,
Grand Total,4.513564601,6.853971241,,,,
,,,,,,
,,,,,,
State Name,AVERAGE of DO_Avg,AVERAGE of BOD_Avg,,,,
Rd_Bangalore,7.65,1.55,,,,
Tripura,7.944230769,1.788461538,,,,
Mizoram,7.401515152,2.701515152,,,,
Sikkim,7.603731343,2.73358209,,,,
Puducherry,7.735714286,2.771428571,,,,
Punjab,6.958450704,3.034929577,,,,
Telangana,7.09765625,3.230078125,,,,
Odisha,7.029613842,3.339468405,,,,
Inter-State,6.45483871,3.432258065,,,,
Nagaland,7.052348993,3.432550336,,,,
Bihar,6.942049763,3.582819905,,,,
Rajasthan,6.86875,3.633552632,,,,
Uttar Pradesh,7.083465704,3.635258724,,,,
Tamil Nadu,6.990790123,3.98654321,,,,
Jharkhand,6.702238806,3.995373134,,,,
Gujarat,6.935384615,4.025213675,,,,
Jammu and Kashmir,6.990149626,4.344014963,,,,
Meghalaya,6.925986842,4.375328947,,,,
Andhra Pradesh,6.905702918,4.467241379,,,,
Chhattisgarh,6.8177,4.516516667,,,,
Maharashtra,6.502985075,4.719282753,,,,
Delhi,6.8,4.78,,,,
West Bengal,6.873159145,4.816389549,,,,
Madhya Pradesh,6.603511375,4.845548961,,,,
Arunachal Pradesh,7.266935484,5.202419355,,,,
Himachal Pradesh,7.037945571,5.440298826,,,,
Kerala,5.961111111,5.55,,,,
Uttarakhand,6.691590214,5.825229358,,,,
Assam,6.702640545,5.944974446,,,,
Karnataka,6.625283019,6.646981132,,,,
Manipur,6.500096154,7.144230769,,,,
Haryana,7.124576271,8.017457627,,,,
Grand Total,6.853971241,4.513564601,,,,
,,,,,,
,,,,,,
State Name,SUM of Pollution Flag,,,,,
Maharashtra,180,,,,,
Madhya Pradesh,166,,,,,
Karnataka,146,,,,,
Himachal Pradesh,127,,,,,
Assam,107,,,,,
Uttar Pradesh,91,,,,,
Bihar,90,,,,,
West Bengal,83,,,,,
Odisha,81,,,,,
Jammu and Kashmir,53,,,,,
Uttarakhand,52,,,,,
Gujarat,52,,,,,
Chhattisgarh,45,,,,,
Andhra Pradesh,44,,,,,
Tamil Nadu,39,,,,,
Jharkhand,34,,,,,
Punjab,32,,,,,
Telangana,21,,,,,
Meghalaya,20,,,,,
Nagaland,19,,,,,
Delhi,19,,,,,
Rajasthan,13,,,,,
Manipur,11,,,,,
Haryana,11,,,,,
Arunachal Pradesh,8,,,,,
Mizoram,6,,,,,
Kerala,6,,,,,
Sikkim,3,,,,,
Inter-State,3,,,,,
